DLiP-ID,Canonical SMILES(RDKit),MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings,Common Target Pref Name,Active
T0003W,C[C@@]1(C(=O)N[C@@H](Cc2ccc(C(F)(F)F)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,553.386,4.523,4,2,103.78,7,3,Integrins,Active
J0000H,CSc1cccc(NC(=O)NC2CCN(Cc3ccccc3)CC2)c1,355.507,3.764,3,2,44.37,5,3,DCN1/UBE2M,Inactive
T0003X,C[C@@]1(C(=O)N[C@@H](Cc2ccc(C(F)(F)F)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,553.386,4.523,4,2,103.78,7,3,Integrins,Inactive
T0003Z,O=C(OCCCc1ccc(Br)cc1)C1CCCCN1S(=O)(=O)c1ccccc1,466.397,4.804,4,0,63.68,7,3,FKBP1A/FK506,Active
C002FN,O=c1ccc2cc(O)c(O)cc2o1,178.143,1.999,4,2,70.67,0,2,Importin subunit beta-1/Snurportin-1,Inactive
T00040,CCN(CC)c1nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)nc(OC)n1,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00041,CCN(CC)c1nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)nc(OC)n1,534.404,1.849,9,3,142.46,11,3,Integrins,Active
T00042,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(NS(=O)(=O)c2ccccc2)cc1,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Inactive
T00043,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(NS(=O)(=O)c2ccccc2)cc1,612.711,6.052,9,3,164.58,12,4,"BCL-like/BAX,BAK",Active
T00044,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1cccc2cnccc12)C(C)C,425.533,1.378,5,3,103.43,7,3,XIAP/SMAC,Active
C001HP,COc1ccc(O)c(-c2cc(-c3cccc(Br)c3)[nH]n2)c1,345.196,4.91,3,2,58.14,3,3,MENIN/MLL,Inactive
T00045,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCC/N=C(S)/N=C1\C=CC(=C2c3ccc(O)cc3Oc3cc(O)ccc32)C(C(=O)O)=C1,687.771,3.933,9,4,175.39,9,5,FKBP1A/FK506,Active
T00047,Cn1nc(CC(CC(=O)O)c2ccc3c(c2)OCO3)cc1OCCc1ccc2c(n1)NCCN2,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00048,Cn1nc(CC(CC(=O)O)c2ccc3c(c2)OCO3)cc1OCCc1ccc2c(n1)NCCN2,465.51,2.297,9,3,119.76,9,5,Integrins,Active
T00049,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1)c1c(Cl)cncc1Cl,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T0004A,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1)c1c(Cl)cncc1Cl,591.473,1.041,6,3,145.77,9,4,Integrins,Active
T00210,O=c1[nH]c(=O)c2ccc3c4ccc5c(=O)n(-c6ccccc6)c(=O)c6ccc(c7ccc1c2c73)c4c65,466.452,7.189,5,1,89.0,1,8,"BCL-like/BAX,BAK",Inactive
C003RV,CCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccc(OCOCC[Si](C)(C)C)cc1,559.823,8.877,4,0,48.0,12,4,P53/HDM2,Inactive
C003RK,CC(C)(C)C[C@@H]1N[C@@H](C(=O)Nc2ccc(C(N)=O)cc2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)c(F)cc12,601.481,5.798,4,4,113.32,5,5,P53/HDM2,Active
T0004B,Cc1ccnc(NCCCCOc2ccc(C[C@H](NS(=O)(=O)c3cccc(C(F)(F)F)c3)C(=O)O)cc2NC(=O)COCCOCCOCCN)c1,755.813,0.565,11,5,200.43,24,3,Integrins,Active
T0004C,Cc1ccnc(NCCCCOc2ccc(C[C@H](NS(=O)(=O)c3cccc(C(F)(F)F)c3)C(=O)O)cc2NC(=O)COCCOCCOCCN)c1,755.813,0.565,11,5,200.43,24,3,Integrins,Active
C003RL,COc1cc(NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)ccc1C(=O)O,614.501,6.28,5,4,116.76,6,5,P53/HDM2,Active
C003RM,COc1cc(NC(=O)[C@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@@H]2c2cccc(Cl)c2F)ccc1C(=O)O,614.501,6.28,5,4,116.76,6,5,P53/HDM2,Active
C003RN,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,614.501,6.28,5,4,116.76,6,5,P53/HDM2,Active
C003RO,CC(C)(C)C[C@@H]1N[C@@H](C(=O)Nc2ccc(C(N)=O)cc2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,583.491,5.637,4,4,113.32,5,5,P53/HDM2,Active
C003RP,CC(C)(C)C[C@@H]1N[C@@H](C(=O)Nc2ccc(C#N)cc2F)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,583.466,6.634,4,3,94.02,4,5,P53/HDM2,Active
C003RQ,COc1cc(C(N)=O)ccc1-c1ccccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,689.615,7.492,5,4,122.55,7,6,P53/HDM2,Active
C003YA,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(NCc3ccc(Br)cc3)cc2NC(=S)C1c1ccc(Cl)cc1,669.428,7.428,5,2,70.67,7,5,P53/HDM2,Inactive
C003YB,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(NCC(C)(C)C)cc2NC(=S)C1c1ccc(Cl)cc1,570.542,6.393,5,2,70.67,6,4,P53/HDM2,Inactive
C003RR,COc1cc(OCCO)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,630.544,5.871,6,4,108.92,8,5,P53/HDM2,Active
T005F4,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(F)c1,345.157,2.646,4,0,49.85,2,3,Rad51/BRCA2,Active
T0004D,CC(C)C[C@@H]1NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)[C@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H](CCCN=C(N)N)NC1=O,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T004OA,CC(C)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,437.345,2.79,4,2,103.78,7,2,Integrins,Active
T003B6,COc1ccc2c(c1)CCN1C(=O)C3CCCC(C21)N3C(=O)C(=O)c1cc(OC)c(OC)c(OC)c1,494.544,2.342,7,0,94.61,6,5,FKBP1A/FK506,Active
C003YC,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(NCC(C)C)cc2NC(=S)C1c1ccc(Cl)cc1,556.515,5.998,5,2,70.67,7,4,P53/HDM2,Active
C003YD,CCCCCNc1ccc2c(c1)NC(=S)C(c1ccc(Cl)cc1)N(C(C(=O)OC)c1ccc(Cl)cc1)C2=O,570.542,6.839,5,2,70.67,9,4,P53/HDM2,Inactive
C003YE,CCCCNc1ccc2c(c1)NC(=S)C(c1ccc(Cl)cc1)N(C(C(=O)OC)c1ccc(Cl)cc1)C2=O,556.515,6.27,5,2,70.67,8,4,P53/HDM2,Inactive
C003RS,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)cc(F)c32)[C@H]1c1cccc(Cl)c1F,631.507,5.713,5,4,122.55,6,5,P53/HDM2,Active
C003RT,CC(C)(C)C[C@@H]1N[C@@H](C(=O)Nc2ccc(OCCO)cc2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,600.518,5.956,5,4,99.69,7,5,P53/HDM2,Active
T0025F,CCCCCOc1ccc(C[C@H](NC(=O)/C(=N/OC)c2csc(N)n2)C(=O)O)cc1,434.518,0.979000000000001,8,3,136.13,12,2,Integrins,Active
C003YF,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(NCc3ccsc3)cc2NC(=S)C1c1ccc(Cl)cc1,596.561,6.022,6,2,70.67,7,5,P53/HDM2,Inactive
T003KT,COc1ccccc1-c1ccc(C[C@H](NC(=O)[C@H]2CSCN2C(C)=O)C(=O)O)cc1,428.51,2.738,5,2,95.94,7,3,Integrins,Active
T002GU,O=C(N[C@@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)C(=O)O)c1c(Cl)cccc1Cl,513.381,5.184,5,4,116.34,10,4,Integrins,Active
C003RU,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3c2ccc(Cl)c3F)[C@H]1c1cccc(Cl)c1F,631.507,5.713,5,4,122.55,6,5,P53/HDM2,Active
C003RX,O=C(O)[C@H](c1ccccc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccccc1,512.303,3.885,3,2,86.71,4,4,P53/HDM2,Inactive
C003RY,COc1cc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,481.548,5.446,5,1,68.23,8,5,P53/HDM2,Inactive
C003RZ,COc1ccc(C(O)CNC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,464.565,5.403,4,2,61.8,8,5,P53/HDM2,Inactive
C003S0,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccc(C(C)(C)C)cc1)c1ccc(OCOCC[Si](C)(C)C)cc1,572.822,8.574,4,1,67.87,11,4,P53/HDM2,Inactive
C003S2,COc1cc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2CCNC(C)=O)cc(OC)c1O,510.974,3.858,6,2,97.33,9,4,P53/HDM2,Inactive
C003S3,O=C(O)[C@H](c1ccccc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1cccc(C(F)(F)F)c1,580.3,4.81,3,2,86.71,4,4,P53/HDM2,Inactive
C004QU,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,424.088,5.216,3,1,50.44,3,3,Perilipin-1/ABHD5,Inactive
C000Q3,O=P1(NCCCl)OCCCN1CCCl,261.089,0.835,2,1,41.57,5,1,MENIN/MLL,Active
C003S4,OCC(NC1(c2ccccc2)c2ccccc2CC1Cc1ccccc1)C(O)c1ccccc1,449.594,5.578,3,3,52.49,8,5,P53/HDM2,Inactive
C003S5,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,357.453,5.361,2,0,29.54,6,4,P53/HDM2,Inactive
C003S6,O=C(O)[C@H](c1ccc(Cl)nc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1cc2ccccc2[nH]1,586.773,1.341,4,3,115.39,4,5,P53/HDM2,Active
C003S7,CC(C)(C)c1ccc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,496.05,8.729,2,0,29.54,6,5,P53/HDM2,Inactive
C003S8,O=C1c2ccccc2C(OCCCO)(c2ccccc2)N1Cc1ccccc1,373.452,4.229,3,1,49.77,7,4,P53/HDM2,Inactive
C003S9,CCCNC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,356.469,5.165,2,1,32.34,6,4,P53/HDM2,Inactive
C003SA,CC(C)(C)c1ccc(COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,461.605,8.107,2,0,29.54,6,5,P53/HDM2,Inactive
C003SB,CCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccccc1,413.561,7.178,2,0,29.54,6,4,P53/HDM2,Inactive
C003SC,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC[C@@H]1c1ccc(Cl)cc1,567.21,6.087,3,2,69.64,4,4,P53/HDM2,Active
C003SD,COc1cc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,515.993,6.068,5,1,68.23,8,5,P53/HDM2,Inactive
C003SE,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1C(Cc1ccc(O)cc1)C(=O)OC,445.515,4.919,5,1,76.07,8,4,P53/HDM2,Inactive
C003SF,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,581.5,5.526,5,1,83.47,6,5,P53/HDM2,Active
C003SG,CCC[C@@H](c1ccccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,6.236,3,1,70.5,8,4,P53/HDM2,Active
C003SH,CC(C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,434.363,5.119,2,1,57.61,5,3,P53/HDM2,Active
C003SI,COC(=O)C(Cc1ccc(O)cc1)N1C(=O)c2ccccc2C1(OCCOC(C)=O)c1ccccc1,489.524,4.169,7,1,102.37,9,4,P53/HDM2,Inactive
C101XP,[O-][S+](CCCCN=C=S)c1ccncc1,240.353,1.308,4,0,48.31,6,1,KEAP1/NRF2,Inactive
C003SJ,CC[C@@H](c1ccccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,511.449,5.667,3,1,70.5,7,4,P53/HDM2,Active
C003SK,O=C1c2ccccc2C(OCc2ccc(O)cc2)(c2ccccc2)N1Cc1ccccc1,421.496,5.884,3,1,49.77,6,5,P53/HDM2,Inactive
C003UD,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1CCCC(OC)OC,383.488,4.161,4,0,48.0,10,3,P53/HDM2,Inactive
C003SL,O=C1c2ccccc2C(=O)N1CCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,488.543,5.504,4,0,66.92,7,6,P53/HDM2,Inactive
C003SM,O=C1c2ccccc2C(OCc2cccc(O)c2)(c2ccccc2)N1Cc1ccccc1,421.496,5.884,3,1,49.77,6,5,P53/HDM2,Inactive
C003SN,C=C(C)C(=O)OCCN1C(=O)c2ccccc2C1(N[C@@H](CO)[C@@H](O)c1ccccc1)c1ccccc1,486.568,3.61,6,3,99.1,10,4,P53/HDM2,Inactive
C003SO,O=C1c2ccccc2C(OCCc2ccccc2)(c2ccccc2)N1Cc1ccccc1,419.524,6.448,2,0,29.54,7,5,P53/HDM2,Inactive
C003SP,CCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccc(OC)cc1,387.479,5.276,3,0,38.77,7,4,P53/HDM2,Inactive
C00432,Nc1sc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)N1CCCC1,382.916,5.079,3,1,46.33,3,4,P53/HDM2,Active
C003SQ,O=C1c2ccccc2C(NC(CO)C(O)c2ccccc2)(c2ccccc2)N1Cc1ccccc1,464.565,4.816,4,3,72.8,8,5,P53/HDM2,Inactive
C003TT,CCCN1C(=O)c2ccccc2C1(OCc1[nH]cnc1C)c1ccc(C(C)(C)C)cc1,417.553,5.678,3,1,58.22,6,4,P53/HDM2,Inactive
C003SR,CCOC(=O)CCC(NC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1)C(=O)OCC,500.595,5.255,6,1,84.94,11,4,P53/HDM2,Inactive
C003SS,CN(CCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(C=O)cc1,476.576,6.297,4,0,49.85,9,5,P53/HDM2,Inactive
C003ST,N#CCCNC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,367.452,4.035,3,1,56.13,6,4,P53/HDM2,Inactive
C003SU,NC(=O)COC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,372.424,3.234,3,1,72.63,6,4,P53/HDM2,Inactive
C003SV,COc1ccc([C@@H](O)COC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccco2)cc1,455.51,4.296,5,1,72.14,8,5,P53/HDM2,Inactive
C003SW,C=C(C)C(=O)OCCNC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,426.516,4.888,4,1,58.64,8,4,P53/HDM2,Inactive
C003SX,CC(=O)NCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,400.478,4.08,3,1,58.64,7,4,P53/HDM2,Inactive
C003SY,C=CCNC(=S)NCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,457.599,5.11,3,2,53.6,9,4,P53/HDM2,Inactive
T0004E,CC(C)C[C@@H]1NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)[C@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H](CCCN=C(N)N)NC1=O,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
C003SZ,CC(C)(C)c1ccc(COC2(c3ccccc3)c3ccccc3C(=O)N2CCc2c[nH]cn2)cc1,465.597,6.529,3,1,58.22,7,5,P53/HDM2,Inactive
C003T0,O=C1c2ccccc2C(N[C@@H](CO)[C@@H](O)c2ccccc2)(c2ccccc2)N1Cc1ccccc1,464.565,4.816,4,3,72.8,8,5,P53/HDM2,Inactive
C003T1,CCCN1C(=O)c2ccccc2C1(OCc1cc2c(cc1[N+](=O)[O-])OCO2)c1ccc(C(C)(C)C)cc1,502.567,6.559,6,0,91.14,7,5,P53/HDM2,Inactive
C003T2,O=C(NCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1)c1ccncc1,463.537,4.545,4,1,71.53,8,5,P53/HDM2,Inactive
C003T3,O=C1c2ccccc2C(NCCO)(c2ccccc2)N1Cc1ccccc1,358.441,3.675,3,2,52.57,6,4,P53/HDM2,Inactive
C003T4,C=CC(=O)OCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,413.473,4.903,4,0,55.84,8,4,P53/HDM2,Inactive
C003T5,COc1ccc(CCOC2(c3ccccc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1OC,479.576,6.01,4,0,48.0,9,5,P53/HDM2,Inactive
T002TA,COc1nc(NCCO)nc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)n1,522.349,-0.268999999999999,10,5,171.48,11,3,Integrins,Active
C003T6,CC(NC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1)C(O)c1ccc(O)cc1,464.565,5.542,4,3,72.8,7,5,P53/HDM2,Inactive
C003T7,CCCN1C(=O)c2ccccc2C1(OCCS(C)(=O)=O)c1ccc(C(C)(C)C)cc1,429.582,5.283,4,0,63.68,7,3,P53/HDM2,Inactive
C003T8,O=C1c2ccccc2C(OCCNC(=O)C(F)(F)F)(c2ccccc2)N1Cc1ccccc1,454.448,4.779,3,1,58.64,7,4,P53/HDM2,Inactive
C003T9,O=C1c2ccccc2C(OCCOc2ccccc2O)(c2ccccc2)N1Cc1ccccc1,451.522,5.633,4,1,59.0,8,5,P53/HDM2,Inactive
C003TA,COCCOC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,373.452,4.39,3,0,38.77,7,4,P53/HDM2,Inactive
C003TB,CCCN1C(=O)c2ccccc2C1(OCCc1ccc(O)cc1)c1ccc(C(C)(C)C)cc1,443.587,6.93,3,1,49.77,7,4,P53/HDM2,Inactive
C003TC,CC[C@@H](c1ccncc1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,511.449,5.578,3,1,70.5,7,4,P53/HDM2,Active
C003TD,CC[C@@H](c1cccnc1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,511.449,5.578,3,1,70.5,7,4,P53/HDM2,Active
C003TE,C[C@@H](c1ccccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,497.422,5.309,3,1,70.5,6,4,P53/HDM2,Active
C002GJ,COc1ccc(C=O)cc1O,152.149,0.959,3,1,46.53,2,1,Importin subunit beta-1/Snurportin-1,Inactive
C003TF,CC[C@@H]([C@H](C)OC)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,492.443,5.324,3,1,66.84,8,3,P53/HDM2,Active
C003TG,CC[C@@H]([C@@H]1CCCO1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,504.454,5.407,3,1,66.84,7,4,P53/HDM2,Active
T003NM,COc1ccc(C(CNc2nnc(C)c(=O)n2N)c2c[nH]c3ccccc23)cc1,390.447,2.888,7,3,110.85,6,4,RAC1/TIAM1,Active
C003TU,CCCN1C(=O)c2ccccc2C1(OCc1cc(OC)c(O)c(OC)c1)c1ccc(Cl)cc1,467.949,5.139,5,1,68.23,8,4,P53/HDM2,Active
C003TH,CC(C)[C@@H](c1ccccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,5.964,3,1,70.5,7,4,P53/HDM2,Active
C003TI,CC[C@@H](c1cnco1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,501.41,4.67,4,1,83.64,7,4,P53/HDM2,Active
C003TJ,CC[C@@H](c1nccs1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,517.478,5.035,4,1,70.5,7,4,P53/HDM2,Active
C003TK,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](c2ccccn2)C2CC2)C1=O,523.46,5.624,3,1,70.5,7,5,P53/HDM2,Active
C003TL,CC[C@@H](c1ncccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,512.437,4.626,4,1,83.39,7,4,P53/HDM2,Active
C003TM,CC[C@@H](c1ccc(C)cn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,5.893,3,1,70.5,7,4,P53/HDM2,Active
C003TN,CC[C@@H](c1cccc(C)n1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,5.982,3,1,70.5,7,4,P53/HDM2,Active
C003TO,CC[C@@H](c1cccc(Cl)n1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,545.894,6.378,3,1,70.5,7,4,P53/HDM2,Active
C003TP,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(c2ccccc2)C1=O,468.38,5.802,2,1,57.61,5,4,P53/HDM2,Active
C003TQ,CC[C@@H](c1cc(C)ccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,6.104,3,1,70.5,7,4,P53/HDM2,Active
T004Y3,C#C[C@H](CC(=O)O)NC(=O)CNC(=O)CCCc1ccc2c(n1)NCCC2,372.425,0.264,5,4,120.42,9,2,Integrins,Active
C003TR,CC[C@@H](c1ncccc1C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,525.476,5.893,3,1,70.5,7,4,P53/HDM2,Active
C003TS,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(c2ccccn2)C1=O,469.368,5.278,3,1,70.5,5,4,P53/HDM2,Active
T0004F,CC(C)C[C@@H]1NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)[C@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H](CCCN=C(N)N)NC1=O,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
T002Q6,N=C(N)NCCC[C@H]1NC(=O)CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)CNC1=O,489.533,0.0959999999999993,6,8,215.6,8,2,Integrins,Inactive
C003TV,CCCN1C(=O)c2ccccc2C1(NC(=O)c1ccccc1)c1ccc(C(C)(C)C)cc1,426.56,6.875,2,1,49.41,5,4,P53/HDM2,Inactive
C003TW,O=C1c2ccccc2C(OCCc2ccccn2)(c2ccc(Cl)cc2)N1Cc1ccccc1,454.957,5.907,3,0,42.43,7,5,P53/HDM2,Inactive
C101XQ,CN(C)CCCS(=O)(=O)CCCCN=C=S,264.416,2.129,5,0,49.74,9,0,KEAP1/NRF2,Inactive
C003TX,CC(=O)NCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccc(Cl)cc1,491.031,6.519,3,1,58.64,7,4,P53/HDM2,Inactive
C00433,Nc1sc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)N1CCOCC1,398.915,4.173,4,1,55.56,3,4,P53/HDM2,Active
C003TY,O=C1c2ccccc2C(OCCCO)(c2ccc(Cl)cc2)N1Cc1ccccc1,407.897,4.851,3,1,49.77,7,4,P53/HDM2,Inactive
C003U3,CC(C)Oc1ccc(C(=O)NS(=O)(=O)c2ccc(NN=C3C(=O)N(c4ccccc4)N(c4ccccc4)C3=O)cc2)cc1,597.653,5.467,8,2,137.48,9,5,P53/HDM2,Inactive
T0004G,CC(C)C[C@@H]1NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)[C@H](N)CCC/N=C(/N)NC(=O)[C@@H](N)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H](CCCN=C(N)N)NC1=O,1354.595,-4.732,22,22,677.9,21,2,Integrins,Active
