DLiP-ID,Target Pref Name
T003YW,Integrins
T003YX,Integrins
C001XT,Menin/Histone-lysine N-methyltransferase MLL
T003Z0,Integrins
T003Z1,SOD1 dimer
T003Z2,XIAP/Caspase9 or SMAC (BIR3 domanin)
T003ZA,Integrins
T003Z3,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003Z4,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003Z5,Integrins
T003Z6,Integrins
T003Z7,p53/MDM2
T003Z8,Integrins
T003Z9,Integrins
T003ZB,Integrins
T003ZC,Integrins
T003ZD,Integrins
T003ZE,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0040M,Integrins
T003ZF,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003ZG,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003ZH,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003ZI,FKBP1A/FK506
T003ZJ,Integrins
T003ZK,Integrins
T003ZL,Integrins
T003ZM,FKBP1A/FK506
T003ZN,p53/MDMX
T00409,Transthyretin tetramer
T00716,Integrins
T003ZW,Integrins
T0040F,Integrins
T003ZX,Integrins
T003ZY,Bcl-2 and Bcl-XL with BAX; BAK and BID
T003ZZ,Integrins
T00400,Tubulin dimer
C1013C,Bcl-xL/Bcl-2-binding component 3
T00401,Integrins
T00402,Integrins
T00403,Neuropilin-1/VEGF-A
T00404,Integrins
T00405,Integrins
C003ND,Runt-related transcription factor 1/Core-binding factor subunit beta
C1013D,Bcl-xL/Bcl-2-binding component 3
C000K8,Menin/Histone-lysine N-methyltransferase MLL
T00406,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00419,Integrins
T00407,Integrins
T00408,Integrins
T0040A,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0040C,Integrins
T0040D,Integrins
T0040E,Integrins
T0040G,Integrins
T0040H,Integrins
C003NE,Runt-related transcription factor 1/Core-binding factor subunit beta
T0040I,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0040J,Integrins
T0040K,Integrins
T0040L,Integrins
T0040N,Integrins
T0040Z,Integrins
T00410,Integrins
T00411,Integrins
T00412,Integrins
T00413,Integrins
T0041A,HIF-1a/p300
T00414,Integrins
C000CV,Menin/Histone-lysine N-methyltransferase MLL
T00415,Integrins
C000K9,Menin/Histone-lysine N-methyltransferase MLL
T00416,HIF-1a/p300
T00417,Rad51/BRCA2
T0042D,Integrins
T00418,Integrins
T0072R,p53/MDM2
T0041B,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0041C,Integrins
T0041D,Integrins
T0041E,Integrins
T0041F,Integrins
T0041G,Integrins
C003NF,Runt-related transcription factor 1/Core-binding factor subunit beta
T0041H,HIF-1a/p300
T0041I,p53/MDMX
T0041K,p53/MDM2
T0041L,Integrins
T0041M,Integrins
T0041N,FKBP1A/FK506
T0041O,FKBP1A/FK506
T0041P,Integrins
T0041Q,Integrins
T0041T,Integrins
T0041U,Integrins
T0041V,Integrins
T0041W,Integrins
T0041X,Integrins
T0041Y,Integrins
T0041Z,Integrins
T00421,XIAP/Caspase9 or SMAC (BIR3 domanin)
T00422,Integrins
T00423,Integrins
T0036H,HIF-1a/p300
T00424,FKBP1A/FK506
T00425,Integrins
T00426,Integrins
T00427,Integrins
T00428,p53/MDM2
T00429,p53/MDM2
T0042A,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042B,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042C,Integrins
T006GS,Tubulin dimer
T0042E,Cyclophilins
T0042F,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042G,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042H,Integrins
T0042I,p53/MDM2
T0042J,Integrins
T0042V,Integrins
T0042K,Integrins
C000CW,Menin/Histone-lysine N-methyltransferase MLL
T0042L,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042M,Integrins
T0042N,Integrins
T0042O,Cyclophilins
T0042P,Integrins
T0046L,Cyclophilins
T0042Q,Integrins
T0042R,Integrins
T0042S,Integrins
T0042T,Integrins
C003NG,Runt-related transcription factor 1/Core-binding factor subunit beta
T0042U,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0042W,Integrins
T0042X,p53/MDM2
T0042Y,FKBP1A/FK506
T00431,XIAP/Caspase9 or SMAC (BIR3 domanin)
T00432,p53/MDM2
T00433,Integrins
T0062U,Integrins
T00434,Integrins
T00435,Integrins
T00436,Integrins
T00437,Integrins
T00438,Integrins
T00439,Integrins
T0043A,Integrins
T0043B,Integrins
T0043C,Integrins
T0043D,Integrins
T0043E,Integrins
T0043F,Neuropilin-1/VEGF-A
C003NH,Runt-related transcription factor 1/Core-binding factor subunit beta
T0043G,Integrins
T0043H,Integrins
T0043I,Integrins
T0043J,Integrins
T0043K,Integrins
I0005H,Bromodomain_Histone
T0043L,BetaCatenin/Tcf4 and Tcf3
T0043M,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00443,Integrins
T0043N,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0043O,Integrins
T0043P,Integrins
T0043Q,Integrins
T0043S,Integrins
T0043T,Integrins
T0043V,Integrins
T0043W,Integrins
T0043X,Integrins
T0043Y,Integrins
T0043Z,FKBP1A/FK506
T00440,p53/MDM2
T00441,Integrins
T00442,p53/MDM2
T00444,Integrins
T00445,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0036J,Integrins
T00446,p53/MDM2
T00447,Integrins
T00448,Integrins
T00449,Integrins
T0044H,Integrins
T0044A,Integrins
T0044B,Integrins
T0044C,Integrins
T0044D,Integrins
T0044E,Integrins
T0044G,Integrins
T0044I,Integrins
T0044J,Integrins
T0044M,Integrins
T0044N,Integrins
T0044O,Integrins
T0044P,Integrins
T0044Q,Integrins
T0044R,Integrins
T0044S,SOD1 dimer
T0044T,FKBP1A/FK506
T0044U,FKBP1A/FK506
T0044V,FKBP1A/FK506
T0044W,Integrins
T0044X,Integrins
T0044Y,Integrins
T0044Z,Integrins
T00453,FKBP1A/FK506
C003NI,Runt-related transcription factor 1/Core-binding factor subunit beta
T00454,FKBP1A/FK506
T00455,FKBP1A/FK506
T0022K,Integrins
T00457,Integrins
T00458,Integrins
T00459,Integrins
T0045A,ESX/Sur-2 (DRIP130)
T0045B,HIF-1a/p300
T0045C,p53/MDM2
T0045D,Integrins
T0045E,Integrins
T0045F,Integrins
T0045G,Integrins
T0045H,Integrins
T0045I,Integrins
T0045J,Integrins
P00013,MKEAP1/MNRF2
T0045L,Integrins
T0045M,Integrins
T0045N,Transthyretin tetramer
C003JY,Runt-related transcription factor 1/Core-binding factor subunit beta
T0045W,Integrins
T0045X,Integrins
T0045Y,Integrins
T0046T,Integrins
T0045Z,Integrins
T00460,p53/MDM2
T00461,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00462,Integrins
T00463,Integrins
T00464,Integrins
T00465,Integrins
T00466,HIF-1a/p300
T00467,Integrins
T00468,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00469,Integrins
T0046A,Integrins
T0046B,Integrins
T0046C,Integrins
T0046D,Integrins
T0046E,Integrins
T0046F,p53/MDM2
T0046G,Integrins
T0046H,Integrins
T0046I,Integrins
T0046J,Integrins
T0046K,Integrins
T0046M,Integrins
T0046N,Integrins
T0046O,Integrins
T0046P,Cyclophilins
T0046Q,Cyclophilins
T0046R,Integrins
T0046S,Integrins
T0046V,Integrins
T0046W,Integrins
T0046X,Neuropilin-1/VEGF-A
T0046Y,Integrins
T0046Z,Integrins
T00470,Integrins
T00477,Integrins
C10166,Cadherin-1/Transcription factor 7-like 2
T00478,Integrins
T00471,Neuropilin-1/VEGF-A
T005GG,Integrins
T00472,p53/MDM2
T00473,Integrins
T00474,Integrins
T00475,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00476,p53/MDM2
T00479,Integrins
T0047E,Integrins
T0047F,Integrins
T0047G,Integrins
T0047H,UL30(Pol)/UL42 subunits of HSV (herpes simplex virus) type 1 DNA polymerase
T0047I,HIF-1a/p300
T0047J,Cyclophilins
T0047S,Integrins
T0047K,Integrins
T0047L,Integrins
T0047M,Integrins
T0047N,Integrins
T0047O,Integrins
T0047P,Integrins
T0047Q,Integrins
T0047R,Integrins
T0047T,Integrins
T0047U,Integrins
T0047V,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0047W,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0047X,Cyclophilins
T0047Y,Integrins
T0047Z,Integrins
T00480,Integrins
T00481,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00482,Bcl-2 and Bcl-XL with BAX; BAK and BID
T00483,Tubulin dimer
T00484,Tubulin dimer
T00485,Integrins
T00486,Integrins
T00487,FKBP1A/FK506
T00489,Integrins
T0048A,Integrins
T0048B,Integrins
T0048C,Integrins
T0048D,Integrins
T0048E,BRD4/NUT
T0048F,STAT3 dimer
T0048G,Integrins
T0048H,Integrins
T0048I,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0048J,HIF-1a/p300
T0048L,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0048M,Integrins
C10167,Cadherin-1/Transcription factor 7-like 2
T0048N,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0048O,Integrins
T0048Q,FKBP1A/FK506
T0048R,Integrins
T0048S,Integrins
T0048T,Integrins
T0048U,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0048V,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0048W,Integrins
T0048X,Integrins
C003NL,Runt-related transcription factor 1/Core-binding factor subunit beta
T0048Y,Integrins
T0048Z,Integrins
T00490,Integrins
T0049V,Integrins
T00499,Integrins
T00491,Integrins
T00492,Integrins
T00493,Integrins
C003KH,Runt-related transcription factor 1/Core-binding factor subunit beta
T00495,Integrins
T00496,Integrins
T00497,Integrins
T00498,Integrins
T0049A,XIAP/Caspase9 or SMAC (BIR3 domanin)
T0049B,Integrins
T0049P,p53/MDM2
C003NM,Runt-related transcription factor 1/Core-binding factor subunit beta
T0049C,Neuropilin-1/VEGF-A
T0049D,p53/MDM2
T0049E,HIF-1a/p300
T0049F,Integrins
T0049G,Integrins
T0049H,Bcl-2 and Bcl-XL with BAX; BAK and BID
C003NN,Runt-related transcription factor 1/Core-binding factor subunit beta
T0049I,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0049J,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0049K,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0049L,Integrins
T0049M,K-Ras/SOS1
T0049O,p53/MDM2
T0049S,Integrins
T0049T,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0049U,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0049W,BetaCatenin/Tcf4 and Tcf3
T0049X,Integrins
T0049Y,Integrins
C003KR,Runt-related transcription factor 1/Core-binding factor subunit beta
T0049Z,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004A0,Integrins
T004A1,p53/MDM2
T004AB,Integrins
T004A2,Integrins
T004A3,Integrins
T004A4,Neuropilin-1/VEGF-A
T004A6,Integrins
T004A7,Integrins
T004A8,Integrins
T004A9,E1/E2
T004AA,Integrins
T004AC,Integrins
T004AD,Integrins
T004AI,Integrins
T004AJ,Integrins
T004AK,Tubulin dimer
T004AL,Integrins
T004AM,Integrins
T004AN,Integrins
T004AO,Integrins
T004AU,Integrins
T004AV,Integrins
T004AW,Integrins
T004AX,Bcl-2 and Bcl-XL with BAX; BAK and BID
C002OX,Importin subunit beta-1/Snurportin-1
T004AY,Integrins
T004AZ,Integrins
T004BH,Integrins
T004B0,FKBP1A/FK506
T004B1,Integrins
T004B2,Integrins
C0018A,Menin/Histone-lysine N-methyltransferase MLL
T004B3,Rad51/BRCA2
T004B4,Integrins
T004B5,Integrins
T004B6,Integrins
T004B9,STAT3 dimer
T004BA,Integrins
T004BB,Integrins
T004BD,BRD4/NUT
T004BG,Integrins
C003NO,Runt-related transcription factor 1/Core-binding factor subunit beta
T004BI,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004BJ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004BZ,HIF-1a/p300
T004BK,Integrins
T004BL,Integrins
T004BM,Integrins
T004BN,Integrins
T004BO,Integrins
T004BQ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004BR,HIF-1a/p300
T004BS,Integrins
T004C0,FKBP1A/FK506
T004BT,p53/MDM2
T004BU,p53/MDM2
T004BV,Integrins
T004BW,Integrins
T004BX,Integrins
T004BY,Integrins
T004C1,Integrins
T004C2,Integrins
T004C3,Integrins
T005HD,Integrins
T004C4,FKBP1A/FK506
T004C5,Integrins
T004ES,Integrins
T004C6,Integrins
T004C7,Integrins
T004C9,Integrins
T004CA,Integrins
T004CB,Integrins
T004CC,Integrins
T004CD,Integrins
T004CE,Integrins
T004CF,Integrins
T004CW,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004CG,Integrins
T004CH,FKBP1A/FK506
T004CI,FKBP1A/FK506
T004CM,Integrins
T004CN,Integrins
T004CO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004CX,Integrins
T004CP,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004CQ,Integrins
T004CR,Integrins
T004CS,Integrins
T004CT,Integrins
T004CU,Integrins
T004CV,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004CY,Integrins
T004CZ,Integrins
T004D0,Integrins
C000IQ,Menin/Histone-lysine N-methyltransferase MLL
T004D1,Integrins
T004D2,Integrins
T004D3,Integrins
T004D4,Integrins
T004D5,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004D6,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004D7,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004D8,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004D9,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004DA,FKBP1A/FK506
T004DB,Integrins
P0003K,BRD4-1/H4
T004DC,Integrins
T004DD,STAT3 dimer
T004DF,Transthyretin tetramer
T004DG,Integrins
T004DH,Integrins
T004DI,Integrins
T004DJ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004DK,Integrins
T004DL,Integrins
T004DM,Integrins
T004DN,Integrins
T004DW,Integrins
T004DP,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004DQ,Integrins
T004DS,Integrins
T004DT,Integrins
T004DU,Integrins
T004DV,Integrins
T004DX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004EU,Integrins
T004DY,Integrins
T004DZ,Integrins
T004E0,Integrins
T004E1,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004E2,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004E3,Integrins
T004EV,Integrins
T004E4,Integrins
T004ET,Integrins
T004E5,Integrins
T004E6,Integrins
T004FR,Integrins
T004E7,Integrins
T004E8,Integrins
T004EW,Integrins
T004E9,Integrins
T004EA,Integrins
T004EB,Integrins
T004EC,Integrins
T004EE,Integrins
T004EF,Integrins
C001WX,Menin/Histone-lysine N-methyltransferase MLL
C10180,Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D
T004EG,Integrins
T004EH,Cyclophilins
T004EI,Integrins
T004EJ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004EK,Integrins
C003NP,Runt-related transcription factor 1/Core-binding factor subunit beta
T004EL,Integrins
T004EX,FKBP1A/FK506
T004EM,Integrins
T004FS,Integrins
T004EN,Integrins
T004EO,BRD4/NUT
T004EP,FKBP1A/FK506
T004EQ,Bcl-2 and Bcl-XL with BAX; BAK and BID
C005ED,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
T004ER,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004EY,Integrins
T004EZ,Integrins
T004F0,Integrins
T004F1,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004F2,Integrins
T004F9,E1/E2
T004F3,Integrins
T004FC,FKBP1A/FK506
T004F4,Integrins
T004F5,Integrins
T004F6,S100B/p53
T004F7,Cyclophilins
T004F8,Cyclophilins
T004FD,FKBP1A/FK506
T004FE,Integrins
T004FF,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004FG,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004FJ,Integrins
T004FK,Integrins
T004FL,Integrins
T004FM,Integrins
T004FN,Integrins
T004FO,Integrins
T004FP,Integrins
T004H7,Integrins
T004FQ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004FT,HIF-1a/p300
T004FU,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004FW,HIF-1a/p300
T004FX,Integrins
T004FY,Integrins
T004FZ,Neuropilin-1/VEGF-A
T004G0,Integrins
T004TR,BRD4/NUT
T0020F,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004G1,Integrins
T004G2,HIF-1a/p300
T004G3,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0074D,Rac1/GEFs
T004GY,Integrins
T004H0,HIF-1a/p300
T004G4,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004G5,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004G6,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004G7,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004G8,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004G9,FKBP1A/FK506
T004GA,Integrins
T004GC,Integrins
T004GD,Integrins
T004GE,Integrins
T004GF,HIF-1a/p300
T004GH,Integrins
T004GI,Integrins
T004GJ,Integrins
T004GK,Integrins
T004GL,Integrins
T004GM,Neuropilin-1/VEGF-A
T004GN,FKBP1A/FK506
T004GO,HIF-1a/p300
T004GP,Integrins
C000TG,Menin/Histone-lysine N-methyltransferase MLL
T004GZ,Integrins
T004GS,Integrins
T004GT,Integrins
T004GU,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004GV,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004GW,Integrins
T004GX,Integrins
P0003L,BRD4-1/H4
T004H2,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004H3,Integrins
T004H4,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004H5,p53/MDM2
T004H6,Integrins
T004H8,Integrins
T004H9,Integrins
T005E0,HIF-1a/p300
T004HA,Integrins
T004HB,Neuropilin-1/VEGF-A
T004HC,Neuropilin-1/VEGF-A
T004HD,Integrins
T004HE,Integrins
T004HG,Integrins
T006JV,S100B/p53
T005EB,FKBP1A/FK506
T004HH,Integrins
T004HI,Integrins
T004HJ,FKBP1A/FK506
T004HK,Integrins
T004HL,Integrins
T004HM,Integrins
T004HN,Integrins
T004HQ,FKBP1A/FK506
T004HR,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HS,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HT,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HU,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HV,Bcl-2 and Bcl-XL with BAX; BAK and BID
C003NQ,Runt-related transcription factor 1/Core-binding factor subunit beta
T004HX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HY,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004HZ,p53/MDM2
T004I1,Integrins
T004I9,Integrins
T004I2,Integrins
T004L4,Integrins
T004I3,Integrins
T004I4,Integrins
T004I5,Integrins
T004I6,Integrins
T004I7,FKBP1A/FK506
T004I8,Integrins
T004IA,Integrins
T004IB,Integrins
T004IC,Neuropilin-1/VEGF-A
T004ID,Integrins
T004IE,FKBP1A/FK506
T004IF,FKBP1A/FK506
T004IG,S100B/p53
T004IJ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004IK,Integrins
T004IL,Integrins
T004IM,Integrins
T004IN,Integrins
T004IO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004IX,p53/MDM2
T004IY,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004IP,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004IQ,ZipA/FtsZ
T004IR,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004IT,Integrins
T004IU,Integrins
T004IV,Integrins
T004IW,Integrins
P0003M,CREBBP/H4
T004IZ,Integrins
T004J0,Cyclophilins
T004J1,Cyclophilins
T004J2,FKBP1A/FK506
T004J3,Integrins
T004J4,Integrins
T004J5,Integrins
T004JA,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004JB,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004JC,IL-2/IL-2Ra
T004JD,Rac1/GEFs
T004JE,Integrins
T004JF,Integrins
T004JG,Bcl-2 and Bcl-XL with BAX; BAK and BID
C001W5,Menin/Histone-lysine N-methyltransferase MLL
T004JH,Integrins
T004JI,Integrins
T004JJ,Integrins
T004JK,Integrins
T004JL,Integrins
T004JM,SOD1 dimer
T004JN,FKBP1A/FK506
T004LA,p53/MDM2
T004JW,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004JO,Integrins
T004JP,Integrins
T004JQ,E1/E2
T004JR,Cyclophilins
T004JS,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004JT,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004JU,Cyclophilins
T004LB,Integrins
T0020G,Bcl-2 and Bcl-XL with BAX; BAK and BID
T0020H,Integrins
T006BR,Integrins
C1013E,Ubiquitin-conjugating enzyme E2 N/Ubiquitin-conjugating enzyme E2 variant 1
C1013F,Ubiquitin-conjugating enzyme E2 N/Ubiquitin-conjugating enzyme E2 variant 1
T004JV,Integrins
T004JX,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004JY,Integrins
T004JZ,BRD4/NUT
T004K0,Integrins
T004K1,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004K2,Integrins
T004K3,Integrins
T004K4,Integrins
T004K5,Tubulin dimer
T004K6,Integrins
T004K7,Integrins
T004K8,Integrins
T004K9,Integrins
T004KA,Integrins
T004KB,Integrins
T004KC,Integrins
T004KD,Integrins
T004KE,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004KF,Integrins
T004KH,Integrins
T004KI,Integrins
T004KK,Integrins
T004KL,Integrins
T004KM,Integrins
T004KN,Integrins
T004LC,Integrins
T004KO,Integrins
T004KP,p53/MDM2
T004RQ,FKBP1A/FK506
T004KQ,Integrins
T004KR,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004KS,CRM1/Rev
T004KT,Integrins
T004KU,IL-2/IL-2Ra
T004KV,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004KW,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004ZJ,Cyclophilins
T004KX,Integrins
T004KY,Integrins
T004KZ,Integrins
T004L0,Integrins
T004L1,Integrins
T004L2,Integrins
T004L3,Integrins
T004L5,Cyclophilins
T004L6,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004L7,Neuropilin-1/VEGF-A
T004L8,Rac1/GEFs
T004L9,p53/MDM2
T004LD,Integrins
T004M3,Integrins
T004LE,Integrins
T004LF,HIF-1a/p300
T004LG,Integrins
T004LH,Integrins
T004LI,Integrins
T004LJ,Transthyretin tetramer
T004MC,Integrins
T004LK,Integrins
T004LL,Integrins
T004LM,Integrins
T004LO,p53/MDMX
T004LP,p53/MDM2
T004LQ,Integrins
C001W6,Menin/Histone-lysine N-methyltransferase MLL
C003NR,Runt-related transcription factor 1/Core-binding factor subunit beta
T004LR,Integrins
T004LS,Integrins
T004LT,Integrins
T004LU,Integrins
T004LV,Integrins
T004LW,Integrins
C003NS,Runt-related transcription factor 1/Core-binding factor subunit beta
C1013G,Ubiquitin-conjugating enzyme E2 N/Ubiquitin-conjugating enzyme E2 variant 1
T004LX,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004LY,Integrins
T004LZ,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004M0,p53/MDMX
T004M1,Integrins
T004M2,p53/MDM2
T004M4,Integrins
T004M5,FKBP1A/FK506
T004M6,Integrins
T004M7,Integrins
T004M8,Integrins
T004M9,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004MA,Integrins
T004MB,Integrins
T004ME,Integrins
T004MF,Integrins
T004MH,Neuropilin-1/VEGF-A
T004MI,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004MJ,Integrins
T004MK,Integrins
T004MM,Integrins
T004MN,Integrins
T004MO,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004MP,Bcl-2 and Bcl-XL with BAX; BAK and BID
C000QM,Menin/Histone-lysine N-methyltransferase MLL
T004MQ,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004MR,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004MS,Integrins
T004MT,Integrins
T004MU,Integrins
C003NT,Runt-related transcription factor 1/Core-binding factor subunit beta
T004MV,Integrins
T004MW,Integrins
T004MX,Integrins
T004MY,Integrins
T004MZ,Integrins
T004N0,Integrins
T004N1,Integrins
T004N2,Integrins
T004N3,FKBP1A/FK506
T004N4,Integrins
T004N5,Integrins
T004N6,Integrins
T004N7,Integrins
T004N8,p53/MDM2
T004N9,Integrins
T004NA,Bcl-2 and Bcl-XL with BAX; BAK and BID
C1013H,Histone-lysine N-methyltransferase 2A/WDR5
T004NB,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004NC,Integrins
T004NJ,FKBP1A/FK506
T004NK,Integrins
T004NW,Integrins
T004OP,HIF-1a/p300
T004NL,Integrins
T004NM,Integrins
T004NN,Integrins
T004NO,Integrins
T004NP,Integrins
T004NU,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004NV,HIF-1a/p300
T004NX,Integrins
T004NY,FKBP1A/FK506
T004NZ,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004O0,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004O1,Integrins
T004O2,Integrins
T004O3,Integrins
C000QN,Menin/Histone-lysine N-methyltransferase MLL
T004O4,Integrins
T004O5,Integrins
T004O6,Integrins
T004O7,Integrins
C001Y3,Menin/Histone-lysine N-methyltransferase MLL
T004OC,Cyclophilins
T004OD,HIF-1a/p300
T004OE,Integrins
T004OF,Integrins
T004OG,Integrins
T004OH,FKBP1A/FK506
T004OI,Integrins
C001YE,Menin/Histone-lysine N-methyltransferase MLL
T004OJ,Integrins
T004OK,Integrins
C000QO,Menin/Histone-lysine N-methyltransferase MLL
T004OL,Integrins
C1013I,Menin/Histone-lysine N-methyltransferase 2A
T004OM,Integrins
T004ON,Integrins
T004OV,Integrins
T004OO,Integrins
T004OQ,Integrins
T0040X,Integrins
T004OR,Integrins
T004OS,Integrins
T004OT,Integrins
T004OU,Integrins
T004PU,Integrins
T005IS,Integrins
T004OW,Integrins
C1013J,Menin/Histone-lysine N-methyltransferase 2A
C1013K,Adenomatous polyposis coli protein/Transcription factor 7-like 2
T004OX,Integrins
T004OY,Integrins
T004OZ,Integrins
T004P0,FKBP1A/FK506
T004R4,Integrins
T004P1,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004P2,FKBP1A/FK506
T004P4,Integrins
C1013L,Adenomatous polyposis coli protein/Transcription factor 7-like 2
T0022L,Integrins
T004P5,Integrins
T004P6,Neuropilin-1/VEGF-A
C10181,Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D
T004P7,XIAP/Caspase9 or SMAC (BIR3 domanin)
T004P8,Integrins
T004P9,Integrins
C1013M,Adenomatous polyposis coli protein/Transcription factor 7-like 2
C1013N,Adenomatous polyposis coli protein/Transcription factor 7-like 2
C1013O,Adenomatous polyposis coli protein/Transcription factor 7-like 2
T004PA,Transthyretin tetramer
T004QH,Integrins
T004PB,Bcl-2 and Bcl-XL with BAX; BAK and BID
T004PC,FKBP1A/FK506
T004PD,Integrins
T004PE,Integrins
T004PF,STAT3 dimer
T004PG,Integrins
T004PH,FKBP1A/FK506
